,,,
,,,
,등록대수(만대),전년대비?증가대수(천대),전년대비?증감비(%)
2013,1940,530,2.8
2014,2012,717,3.7
2015,2099,871,4.3
2016,2180,813,3.9
2017,2253,725,3.3
2018,2320,674,3.0
2019,2368,475,2.0
2020,2437,689,2.9
2021,2490,545,2.2
2022,2550,592,2.4
